index	prediction
0	1
1	1
2	1
3	1
4	1
5	1
6	0
7	0
8	1
9	0
10	1
11	1
12	1
13	0
14	1
15	0
16	1
17	1
18	1
19	1
20	0
21	1
22	1
23	1
24	0
25	1
26	1
27	1
28	0
29	0
30	1
31	0
32	0
33	0
34	1
35	0
36	1
37	1
38	0
39	1
40	1
41	1
42	0
43	1
44	1
45	0
46	0
47	0
48	1
49	1
50	1
51	1
52	1
53	1
54	0
55	1
56	0
57	1
58	0
59	1
60	1
61	1
62	1
63	1
64	1
65	1
66	1
67	0
68	1
69	1
70	1
71	0
72	1
73	0
74	1
75	0
76	1
77	1
78	0
79	1
80	1
81	0
82	1
83	0
84	0
85	0
86	1
87	1
88	0
89	1
90	0
91	0
92	1
93	0
94	1
95	0
96	0
97	1
98	0
99	1
100	0
101	1
102	1
103	1
104	1
105	0
106	0
107	1
108	1
109	1
110	1
111	0
112	0
113	1
114	1
115	0
116	1
117	0
118	1
119	1
120	0
121	1
122	1
123	1
124	1
125	0
126	1
127	1
128	0
129	1
130	0
131	1
132	1
133	0
134	1
135	0
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	0
144	1
145	1
146	0
147	1
148	1
149	0
150	1
151	0
152	0
153	0
154	1
155	1
156	1
157	0
158	0
159	1
160	1
161	1
162	1
163	1
164	0
165	1
166	1
167	0
168	1
169	1
170	1
171	1
172	1
173	0
174	1
175	1
176	0
177	0
178	1
179	1
180	0
181	0
182	1
183	1
184	1
185	0
186	0
187	0
188	1
189	1
190	0
191	0
192	1
193	1
194	0
195	0
196	0
197	1
198	1
199	0
200	0
201	1
202	1
203	1
204	1
205	0
206	1
207	1
208	0
209	1
210	0
211	0
212	1
213	0
214	1
215	0
216	1
217	1
218	0
219	1
220	1
221	0
222	1
223	0
224	0
225	1
226	1
227	0
228	1
229	0
230	1
231	0
232	1
233	1
234	0
235	1
236	1
237	1
238	0
239	1
240	1
241	0
242	0
243	1
244	0
245	1
246	1
247	1
248	1
249	0
250	1
251	0
252	0
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	0
265	1
266	1
267	0
268	1
269	1
270	1
271	0
272	1
273	0
274	0
275	0
276	0
277	1
278	0
279	1
280	1
281	0
282	1
283	1
284	1
285	0
286	1
287	0
288	0
289	0
290	1
291	0
292	1
293	1
294	1
295	0
296	0
297	0
298	1
299	0
300	1
301	1
302	0
303	1
304	1
305	0
306	1
307	0
308	0
309	1
310	1
311	1
312	0
313	1
314	1
315	1
316	1
317	1
318	1
319	0
320	1
321	1
322	1
323	1
324	0
325	1
326	1
327	0
328	1
329	0
330	0
331	1
332	1
333	1
334	1
335	0
336	1
337	1
338	1
339	1
340	1
341	1
342	1
343	1
344	1
345	1
346	1
347	0
348	1
349	1
350	1
351	1
352	0
353	1
354	1
355	0
356	0
357	0
358	1
359	0
360	0
361	0
362	1
363	1
364	1
365	0
366	0
367	0
368	0
369	1
370	1
371	1
372	1
373	1
374	1
375	0
376	0
377	1
378	0
379	0
380	0
381	1
382	1
383	1
384	1
385	0
386	1
387	0
388	1
389	1
390	1
391	0
392	0
393	1
394	0
395	1
396	1
397	1
398	0
399	0
400	1
401	0
402	1
403	1
404	0
405	0
406	0
407	1
408	0
409	0
410	0
411	0
412	1
413	1
414	1
415	0
416	1
417	1
418	1
419	1
420	1
421	1
422	1
423	1
424	0
425	0
426	0
427	1
428	0
429	1
430	0
431	1
432	1
433	1
434	1
435	1
436	1
437	1
438	1
439	0
440	0
441	0
442	1
443	1
444	0
445	1
446	1
447	1
448	1
449	1
450	0
451	1
452	1
453	0
454	0
455	1
456	1
457	0
458	0
459	1
460	0
461	1
462	0
463	0
464	0
465	0
466	1
467	1
468	1
469	1
470	0
471	1
472	1
473	1
474	1
475	1
476	1
477	1
478	0
479	1
480	0
481	1
482	0
483	1
484	0
485	1
486	1
487	1
488	1
489	1
490	1
491	0
492	1
493	0
494	0
495	1
496	0
497	1
498	0
499	1
500	1
501	1
502	1
503	1
504	1
505	1
506	0
507	1
508	1
509	0
510	1
511	1
512	0
513	1
514	1
515	0
516	1
517	1
518	1
519	1
520	1
521	0
522	1
523	1
524	1
525	1
526	0
527	1
528	1
529	1
530	1
531	1
532	1
533	0
534	1
535	1
536	1
537	0
538	0
539	1
540	1
541	1
542	0
543	0
544	1
545	1
546	1
547	0
548	0
549	0
550	0
551	1
552	0
553	1
554	0
555	1
556	0
557	1
558	1
559	1
560	1
561	0
562	0
563	0
564	1
565	1
566	1
567	1
568	0
569	0
570	1
571	1
572	1
573	0
574	1
575	1
576	1
577	1
578	1
579	1
580	1
581	0
582	1
583	1
584	1
585	1
586	0
587	1
588	1
589	1
590	1
591	1
592	1
593	0
594	0
595	1
596	1
597	0
598	1
599	0
600	0
601	1
602	1
603	1
604	1
605	1
606	1
607	0
608	0
609	1
610	1
611	1
612	0
613	1
614	1
615	1
616	1
617	0
618	1
619	1
620	1
621	0
622	0
623	0
624	1
625	0
626	1
627	1
628	0
629	1
630	0
631	1
632	1
633	0
634	0
635	1
636	0
637	1
638	1
639	1
640	1
641	1
642	1
643	1
644	1
645	0
646	1
647	1
648	0
649	0
650	1
651	1
652	0
653	1
654	0
655	1
656	1
657	1
658	1
659	1
660	1
661	0
662	1
663	1
664	1
665	0
666	1
667	0
668	0
669	0
670	1
671	1
672	0
673	1
674	1
675	0
676	1
677	0
678	1
679	1
680	0
681	1
682	1
683	1
684	0
685	1
686	1
687	0
688	0
689	1
690	1
691	0
692	0
693	1
694	1
695	0
696	0
697	1
698	0
699	1
700	0
701	1
702	1
703	0
704	1
705	0
706	0
707	0
708	1
709	1
710	0
711	0
712	1
713	0
714	1
715	1
716	1
717	0
718	1
719	1
720	1
721	1
722	0
723	0
724	1
725	1
726	1
727	1
728	0
729	0
730	1
731	1
732	1
733	0
734	1
735	1
736	1
737	1
738	1
739	0
740	1
741	1
742	1
743	1
744	1
745	0
746	1
747	0
748	1
749	0
750	0
751	1
752	1
753	0
754	1
755	0
756	1
757	0
758	1
759	1
760	1
761	1
762	0
763	1
764	1
765	1
766	1
767	1
768	1
769	0
770	1
771	0
772	1
773	1
774	1
775	1
776	1
777	1
778	0
779	0
780	1
781	0
782	1
783	0
784	1
785	1
786	1
787	0
788	1
789	1
790	1
791	1
792	0
793	1
794	0
795	1
796	0
797	0
798	0
799	1
800	0
801	0
802	1
803	1
804	0
805	1
806	0
807	0
808	1
809	0
810	1
811	1
